SiteCode	Year	paramDB	paramWeb	paramDisplayLabel	onlineNames	onlineData
CLE	2015	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2014	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2013	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2012	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2011	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2010	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2009	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2008	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2007	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2006	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2005	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2004	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2003	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2002	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2001	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	2000	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1999	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1998	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1997	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1996	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1995	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1994	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1993	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1992	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1991	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1990	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1989	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1988	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1986	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1985	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1984	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1983	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1982	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1981	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1980	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1979	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1978	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1977	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1976	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1975	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1974	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1973	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1972	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1971	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1970	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1969	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1968	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
CLE	1967	RESERVOIR STORAGE	ReservoirStorage	Reservoir Storage	Reservoir Storage (AF)	1
